,vacias
0,medio
1,varias
2,cualquier
3,éstos
4,somos
5,fue
6,llevar
7,unos
8,diferentes
9,aquí
10,buenos
11,suyas
12,nuestras
13,vosotras
14,podrán
15,respecto
16,consiguen
17,estais
18,mal
19,bueno
20,qué
21,su
22,estaban
23,muchos
24,tendrán
25,saben
26,acuerdo
27,mejor
28,dar
29,quienes
30,nosotros
31,segundo
32,soy
33,sólo
34,aquéllos
35,siete
36,cuatro
37,largo
38,puedo
39,detrás
40,poner
41,solamente
42,solas
43,nuestros
44,cómo
45,hubo
46,deben
47,del
48,este
49,para
50,pueda
51,que
52,quien
53,cuales
54,será
55,ya
56,realizar
57,sus
58,tienen
59,tuyos
60,con
61,les
62,delante
63,llegó
64,ti
65,propia
66,toda
67,cuantas
68,tu
69,entre
70,pero
71,tal
72,esto
73,tener
74,mías
75,estados
76,mios
77,cuáles
78,habia
79,dieron
80,usar
81,informo
82,a
83,sí
84,eran
85,grande
86,nosotras
87,unas
88,por
89,indicó
90,tampoco
91,despues
92,fui
93,posible
94,tarde
95,todavia
96,buenas
97,dado
98,mía
99,eso
100,repente
101,mío
102,mismo
103,había
104,conocer
105,uno
106,dan
107,tenía
108,veces
109,podría
110,hasta
111,alguno
112,aquellas
113,atras
114,nunca
115,supuesto
116,próximos
117,estaba
118,ustedes
119,ahí
120,bastante
121,nuestra
122,puede
123,fuimos
124,alrededor
125,hago
126,haces
127,sé
128,diez
129,quizá
130,las
131,paìs
132,tuvo
133,debajo
134,he
135,ello
136,siguiente
137,ver
138,dentro
139,usted
140,realizado
141,cual
142,son
143,fueron
144,han
145,buena
146,sin
147,propios
148,otras
149,contra
150,dio
151,pudo
152,tus
153,tenemos
154,todas
155,sabeis
156,eramos
157,final
158,nuevas
159,informó
160,tercera
161,mayor
162,aproximadamente
163,si
164,último
165,haceis
166,todo
167,dias
168,se
169,partir
170,otro
171,adelante
172,después
173,así
174,más
175,quedó
176,añadió
177,lo
178,esas
179,eras
180,ése
181,aquello
182,deprisa
183,expresó
184,grandes
185,sería
186,te
187,hacemos
188,hicieron
189,contigo
190,anterior
191,ademas
192,según
193,suya
194,mencionó
195,vuestros
196,casi
197,ésta
198,podrían
199,primer
200,e
201,solo
202,aún
203,lado
204,aquel
205,eres
206,suyos
207,cuál
208,habían
209,pasada
210,afirmó
211,enseguida
212,él
213,donde
214,manera
215,diferente
216,podriais
217,vuestras
218,hacen
219,en
220,pocos
221,hizo
222,poder
223,vosotros
224,cuántos
225,tú
226,pues
227,tendrá
228,cuenta
229,cuánto
230,esa
231,cuanto
232,proximo
233,hacia
234,junto
235,muchas
236,hace
237,cierto
238,apenas
239,menudo
240,mis
241,primera
242,quiza
243,modo
244,cuánta
245,nos
246,la
247,ningunos
248,estado
249,yo
250,antes
251,conseguir
252,decir
253,aunque
254,señaló
255,luego
256,tuya
257,muy
258,propio
259,próximo
260,debido
261,allí
262,usais
263,hablan
264,aquéllas
265,fin
266,vamos
267,encuentra
268,ellos
269,una
270,usas
271,hacer
272,ser
273,ésos
274,ha
275,usamos
276,alli
277,pesar
278,lleva
279,mas
280,dicen
281,menos
282,mismos
283,sola
284,míos
285,voy
286,como
287,verdad
288,estará
289,hay
290,sobre
291,conseguimos
292,pasado
293,nuevos
294,tambien
295,consigue
296,poca
297,sigue
298,qeu
299,u
300,creo
301,explicó
302,podemos
303,considera
304,sabes
305,o
306,hemos
307,uso
308,parte
309,algunas
310,solos
311,verdadera
312,nuevo
313,excepto
314,poco
315,habrá
316,propias
317,dijo
318,saber
319,podria
320,despacio
321,claro
322,primeros
323,aun
324,cuanta
325,temprano
326,vaya
327,ésas
328,entonces
329,porque
330,mí
331,éste
332,sois
333,vez
334,mias
335,podriamos
336,durante
337,aquélla
338,estas
339,algunos
340,estos
341,conmigo
342,demás
343,gran
344,parece
345,ningún
346,tiene
347,suyo
348,quiere
349,nadie
350,asi
351,podrias
352,aseguró
353,arriba
354,teneis
355,existe
356,consideró
357,dónde
358,dijeron
359,esos
360,ante
361,hacerlo
362,tengo
363,haya
364,estar
365,nuestro
366,dice
367,sabemos
368,habla
369,salvo
370,tanto
371,alguna
372,breve
373,algún
374,cuántas
375,verdadero
376,varios
377,enfrente
378,comentó
379,tenga
380,cierta
381,le
382,queremos
383,buen
384,esta
385,éstas
386,y
387,cuando
388,total
389,mio
390,dia
391,estan
392,está
393,quizas
394,estoy
395,me
396,pocas
397,ellas
398,haciendo
399,aqui
400,van
401,tres
402,sean
403,once
404,hecho
405,ese
406,tuyo
407,mientras
408,realizó
409,día
410,el
411,ni
412,podeis
413,sino
414,aquellos
415,nueve
416,dicho
417,cuantos
418,días
419,da
420,manifestó
421,segun
422,era
423,mi
424,usa
425,hoy
426,vuestro
427,tenido
428,pronto
429,sabe
430,vais
431,otros
432,consigues
433,podrá
434,cinco
435,os
436,otra
437,mucho
438,podrian
439,tercero
440,ésa
441,cada
442,nada
443,mismas
444,al
445,ahora
446,última
447,desde
448,todavía
449,seis
450,embargo
451,ocho
452,ambos
453,mucha
454,todos
455,tan
456,ir
457,usan
458,sera
459,igual
460,ahi
461,ninguna
462,tras
463,sea
464,un
465,quiénes
466,también
467,es
468,ningunas
469,los
470,primero
471,sido
472,están
473,ciertos
474,últimos
475,dejó
476,detras
477,quizás
478,mia
479,bajo
480,bien
481,ella
482,va
483,además
484,estamos
485,serán
486,fuera
487,encima
488,trata
489,siendo
490,algo
491,de
492,vuestra
493,través
494,pueden
495,ciertas
496,dos
497,demasiado
498,consigo
499,mediante
500,aquél
501,existen
502,aquella
503,doce
504,ninguno
505,segunda
506,misma
507,incluso
508,ultimo
509,haber
510,tuyas
511,quién
512,estuvo
513,siempre
514,cuándo
515,peor
516,nueva
517,agregó
518,debe
519,últimas
520,no
